Date,avg temp,max temp,min temp,rainFall,price
2023-09-12,24.3,29.6,20.4,0.1,5569
2023-09-11,24.1,29.6,19.7,0,5490
2023-09-08,22.6,28.7,17.2,0,5422
2023-09-07,23.6,29.5,18.5,0,5457
2023-09-06,25,30.4,20.6,0.2,5521
2023-09-05,25.7,30.5,22.1,0,5525
2023-09-04,25.8,30.5,22.5,0.7,5561
2023-09-01,23.3,29,19.3,6.4,5645
2023-08-31,23.3,27.8,20.2,6.8,5657
2023-08-30,22.8,24.9,21.1,38.1,5722
2023-08-29,25.1,28.2,22.7,18.5,5761
2023-08-28,24.9,27.7,22.3,5.7,5846
2023-08-25,25.7,30.5,21.9,4.2,5721
2023-08-24,24.6,27.7,22.7,33,5763
2023-08-23,26.1,30.7,23.2,27.5,5766
2023-08-22,27.5,32.1,24.3,4.4,5782
2023-08-21,27.7,32.6,24,0.2,5872
2023-08-18,26.4,31.2,23,4.7,5766
2023-08-17,25.9,30.3,22.6,2.8,5791
2023-08-16,26.3,31,22.9,0.8,5859
2023-08-14,26.8,31.8,23.1,0.1,5988
2023-08-11,25.4,29.7,21.7,5.7,6073
2023-08-10,23,25,21.6,103.2,5843
2023-08-09,25.6,28.6,23.4,26,5533
2023-08-08,28.3,33.1,24.3,0.5,5507
2023-08-07,28.4,33.7,24.8,3.9,5284
2023-08-04,28.8,34,24.5,0,5062
2023-08-03,28.7,34.1,23.9,0,4817
2023-08-02,28.3,33.7,23.9,0.5,4604
2023-08-01,28.1,33.5,23.6,0.2,4518
2023-07-31,27.7,32.9,23.6,3.1,4380
2023-07-28,27.8,32.9,23.7,0.1,4297
2023-07-27,27.2,32.5,23,0.3,4281
2023-07-26,26.2,31.4,23.3,10.3,4279
2023-07-25,26.1,30.2,23.5,7.5,4274
2023-07-24,25.7,29.5,23.5,21.2,4257
2023-07-21,26.1,31.6,21.9,1,4195
2023-07-20,25.5,30.7,21.5,0.1,4190
2023-07-19,25,29.9,21.3,0.2,4095
2023-07-18,23.7,25.6,22.3,59.7,4091
2023-07-17,25.3,29.8,22.8,20.1,4032
2023-07-14,24.9,26.3,23.7,85.9,4009
2023-07-13,25.1,26.7,23.7,22.5,3882
2023-07-12,25.4,29.3,22.4,12.1,4067
2023-07-11,24.1,27.4,22,31,4072
2023-07-10,26.2,30.6,22.6,7.9,4072
2023-07-07,22.6,26.4,19.7,32.6,4121
2023-07-06,25.7,31.4,20.6,0,4053
2023-07-05,24.9,28.9,21.5,23.8,4038
2023-07-04,24.1,27,22.3,31.7,4062
2023-07-03,25.9,30.9,22.1,1.3,4076
2023-06-30,23.6,26.4,21.9,20.4,4062
2023-06-29,24.1,26.2,22.4,41.1,4049
2023-06-28,24,28,20.1,22.3,3970
2023-06-27,25.1,29.4,21.4,25.1,3970
2023-06-26,23.2,25.7,20.5,46.2,3916
2023-06-23,23.2,28.9,18.2,0,3878
2023-06-22,22,26.7,18.5,0.7,3839
2023-06-21,20.6,23.1,18.7,15.5,3667
2023-06-20,22.4,26.5,18.8,4.6,3665
2023-06-19,24.6,31.1,18.7,0,3672
2023-06-16,22.9,29.7,16.3,0,3512
2023-06-15,20.5,26.3,15.8,1.4,3516
2023-06-14,20.4,26.7,16,4.9,3688
2023-06-13,21.6,27.1,17.5,1.2,3705
2023-06-12,21.8,27.4,17.8,0.9,3727
2023-06-09,21.9,27.8,17,3.3,3721
2023-06-08,21.5,26.9,17.6,1.1,3742
2023-06-07,21.2,26.4,16.3,0,3809
2023-06-05,21.1,26.3,16,0,3808
2023-06-02,21.4,27.1,17.2,1,3784
2023-06-01,19.5,23.4,15.5,4,3808
2023-05-31,20.3,26.2,15,0.3,3964
2023-05-30,20.2,24.3,17,5.8,3983
2023-05-26,20.3,25.4,15.2,0.1,3954
2023-05-25,19.6,25.8,13.9,0,4023
2023-05-24,18,24.8,10.6,0,4016
2023-05-23,17.2,24.5,10.6,0.2,4069
2023-05-22,16.9,21.5,13.1,0.6,4106
2023-05-19,18.8,23.4,14.5,0.6,4064
2023-05-18,18.4,22.1,15.9,9.2,4005
2023-05-17,22.1,29.2,14.5,0,4126
2023-05-16,22.1,30.4,14.1,0,4117
2023-05-15,18.9,26.7,10.5,0,4067
2023-05-12,16.9,23.5,10.2,0.2,4046
2023-05-11,16.9,24.3,9.8,0,4090
2023-05-10,16.9,25,9.2,0,4156
2023-05-09,15.8,24.4,6.7,0,4135
2023-05-08,13.2,21.1,5.1,0,4131
2023-05-04,18.4,22.9,14.1,10.1,4119
2023-05-03,17.5,24,10.5,0.3,4119
2023-05-02,15.4,23.9,6.1,0,4082
2023-04-28,15.8,22.6,6.5,0.2,4278
2023-04-27,12.1,20.8,2.8,0,4276
2023-04-26,10,15.6,5,0.1,4168
2023-04-25,9.3,11.5,6.7,4,4168
2023-04-24,13,17.3,8.9,0.1,4160
2023-04-21,15.9,21.5,11.3,0,4124
2023-04-20,18.8,24.9,13.5,0,4127
2023-04-19,17.4,23.6,12.3,0.3,4020
2023-04-18,14.6,17.9,11.3,2.2,4025
2023-04-17,12.2,19.2,3.9,0,4021
2023-04-14,13.9,19.9,7.8,2.3,3984
2023-04-13,12.6,21.4,3.2,0,3981
2023-04-12,11.4,17.7,5.3,0,3718
2023-04-11,14.8,20.6,8.5,1.6,3699
2023-04-10,12.6,20.4,3.6,0,3662
2023-04-07,9.7,15.9,4.9,1.1,3625
2023-04-06,10.3,12.9,8.3,3.4,3625
2023-04-05,13.4,16.1,10.4,32.2,3625
2023-04-04,14.6,20.6,8.8,5.9,3601
2023-04-03,14.4,22.1,6.1,0,3569
2023-03-31,13.7,23,5,0,3556
2023-03-30,12.9,22.1,3.6,0,3556
2023-03-29,10.6,19.6,1.9,0,3581
2023-03-28,8.5,16.6,0.3,0,3574
2023-03-27,7.2,14.4,0.5,0,3574
2023-03-24,10.4,14.1,7.3,1.7,3549
2023-03-23,14,17.7,10.7,16.7,3541
2023-03-22,14.6,21.9,6.4,1.4,3490
2023-03-21,12.5,21.1,4.7,0,3534
2023-03-20,9.2,17.7,0.8,0,3571
2023-03-17,7.4,12.4,2.2,0,3649
2023-03-16,7.3,13.1,2.4,0,3620
2023-03-15,11.2,19.3,2.7,0,3544
2023-03-14,8.1,16,0.4,0,3544
2023-03-13,3.5,9.1,-1.7,0,3524
2023-03-10,11.9,21.6,3.2,0,3514
2023-03-09,12.2,19,6.1,0.3,3482
2023-03-08,12.4,19.6,4.9,0.2,3378
2023-03-07,11.2,19.6,3,0,3368
2023-03-06,8.1,16.9,-0.4,0,3350
2023-03-03,4.3,12.3,-3.6,0,3236
2023-03-02,2.7,7.4,-1.7,0,3198
2023-02-28,6,13.8,-2.3,0,3178
2023-02-27,4,13.7,-4.6,0,3181
2023-02-24,4.4,10.7,-0.1,0.1,3179
2023-02-23,4.5,10.6,-0.6,0.3,3170
2023-02-22,2,9.3,-6.1,0.2,3111
2023-02-21,-1.2,5,-6.6,0,3123
2023-02-20,0.5,5.9,-3.8,0,3105
2023-02-17,3.4,9.1,-2.2,0.2,3103
2023-02-16,2.5,7.2,-1.6,0,3112
2023-02-15,2.1,5.9,-1.3,1,3043
2023-02-14,2.4,7.2,-1.3,0.4,3040
2023-02-13,5.4,8.7,2.5,1,3045
2023-02-10,3.4,7.9,-0.1,7.7,3037
2023-02-09,3.2,9.8,-4.2,2.1,3037
2023-02-08,2.2,9.5,-3.4,0,2916
2023-02-07,3,10.9,-2.8,0,2913
2023-02-06,2.1,10.2,-5.3,0,2921
2023-02-03,-0.2,5.5,-4.1,0,2919
2023-02-02,-0.9,4.4,-5.1,0,2910
2023-02-01,3,9.1,-2.4,0,2889
2023-01-31,1.1,8.9,-6.9,0,2910
2023-01-30,-0.7,4.7,-5.5,0,2894
2023-01-27,-5.1,-1.2,-8.9,0,2846
2023-01-26,-4.6,-0.4,-11,0.4,2792
2023-01-25,-10.2,-3.9,-16,0,2790
2023-01-20,-0.8,4.2,-6.3,0.2,2750
2023-01-19,-0.4,5.3,-6.3,0.1,2749
2023-01-18,-1,4,-4.8,0,2891
2023-01-17,-2.3,2.3,-6.6,0,2891
2023-01-16,-2.3,1.4,-5.6,0,2902
2023-01-13,9.6,12.8,5.7,28.9,2878
2023-01-12,5.4,14.3,-2.7,0.7,2924
2023-01-11,2.6,11.2,-3.4,0,3038
2023-01-10,1.4,9.4,-4.9,0,3047
2023-01-09,3.1,9.9,-2.3,0,3132
2023-01-06,0.8,7.4,-5,1.4,3128
2023-01-05,-0.8,6,-6.4,0,3133
2023-01-04,-1.6,5.1,-7.4,0,3138
2023-01-03,-3.1,3.3,-8.3,0,3125
2023-01-02,-2.3,2.7,-6.2,0,3088
2022-12-30,-1.2,4,-5.7,0,3011
2022-12-29,-2.5,3,-7.5,0,3000
2022-12-28,-1.6,3.3,-5.7,0,2972
2022-12-27,-2.3,4.8,-8.2,0,2955
2022-12-26,-3.5,3.1,-8.8,0,2955
2022-12-23,-7.6,-4.8,-9.7,1.8,2949
2022-12-22,-4.4,0.8,-8.1,1.8,2917
2022-12-21,0.8,3.8,-2.1,5.2,2878
2022-12-20,-2.2,4.4,-8.8,0,2850
2022-12-19,-5.4,0.6,-11.4,0.1,2849
2022-12-16,-2.3,1.3,-5.5,0,2828
2022-12-15,-2.2,3.5,-9,1,2851
2022-12-14,-5.4,-1,-8.5,0.4,2842
2022-12-13,2.9,6.2,-1.7,1.8,2860
2022-12-12,2.4,7.7,-3,0.8,2839
2022-12-09,3.6,10.6,-1.4,0,2836
2022-12-08,3.5,10.6,-1.7,0,2867
2022-12-07,4.1,9.3,-0.5,0.1,2830
2022-12-06,0.6,6.1,-5.4,0.3,2821
2022-12-05,-0.8,4,-4.3,0,2819
2022-12-01,-2.6,1.6,-5.9,0,2870
2022-11-30,-1.6,3.9,-4.3,0,2885
2022-11-29,10.4,15.8,3.8,11,2890
2022-11-28,11.1,16.1,3.9,15.8,2937
2022-11-25,9.5,17.4,2.2,0.2,2923
2022-11-24,8,15.3,3.6,0,2930
2022-11-23,10.9,16.3,5.6,2.8,2981
2022-11-22,10.7,14.5,7.3,6.8,3013
2022-11-21,10.7,18,5.1,0,3037
2022-11-18,8.9,18.2,2.1,0,3079
2022-11-17,8.5,16.1,3.5,0,3088
2022-11-16,8.5,14.7,4.1,0.4,3155
2022-11-15,7.9,13.7,2.6,0.6,3164
2022-11-14,9.9,14.2,6.2,0,3172
2022-11-11,13.4,21.1,7.4,0,3233
2022-11-10,11.8,19.9,5.5,0,3235
2022-11-09,10.2,18.1,3.6,0,4031
2022-11-08,10.4,18.5,4.4,0,4107
2022-11-07,9.1,17.2,2.1,0,3991
2022-11-04,6.9,12.1,2.5,0,4125
2022-11-03,10.2,17.2,3.7,0,4162
2022-11-02,10.7,19.3,5,0,4514
2022-11-01,12.4,19.9,6.7,0,4494
2022-10-31,12.6,19.4,7.7,0,4525
2022-10-28,12.3,19.5,6.4,0.9,4532
2022-10-27,12.6,20.3,6.8,0.6,4573
2022-10-26,11,18.5,4,0,4819
2022-10-25,9.4,16.4,3.3,0.1,4863
2022-10-24,9.8,15.3,5.2,1.3,4928
2022-10-21,13.2,19.8,6.5,0,4978
2022-10-20,10.9,20.2,2.9,0,5027
2022-10-19,9,16.9,2.5,0,5654
2022-10-18,9,15.4,3.8,0,5737
2022-10-17,13.3,18.1,7.5,0,5898
2022-10-14,15.3,22.3,9.7,0,6030
2022-10-13,14.7,22,9.1,0,6246
2022-10-12,12.5,20.5,5.7,0,6709
2022-10-11,11.9,17.8,7.7,0.1,7411
2022-10-07,14.9,18.8,11.6,2.4,7254
2022-10-06,15.9,20.1,13.2,3.8,7756
2022-10-05,15.7,19.9,13.5,2.6,8193
2022-10-04,19.2,24.2,15,31.1,8225
2022-09-30,18.9,27.6,12.7,0,8155
